"gameID","home","away","OT","SO"
454,"Pittsburgh Penguins","Los Angeles Kings",1,0
455,"Montréal Canadiens","San Jose Sharks",0,0
456,"Carolina Hurricanes","Washington Capitals",1,1
457,"Colorado Avalanche","Florida Panthers",0,0
458,"Calgary Flames","Columbus Blue Jackets",0,0
459,"Vancouver Canucks","Tampa Bay Lightning",0,0
460,"Dallas Stars","Philadelphia Flyers",0,0
461,"Minnesota Wild","Arizona Coyotes",0,0
462,"Toronto Maple Leafs","Pittsburgh Penguins",1,0
463,"Ottawa Senators","New Jersey Devils",0,0
464,"Detroit Red Wings","Anaheim Ducks",0,0
465,"Washington Capitals","Montréal Canadiens",0,0
466,"Carolina Hurricanes","Buffalo Sabres",1,1
467,"St. Louis Blues","Chicago Blackhawks",0,0
468,"Nashville Predators","New York Rangers",1,1
469,"Edmonton Oilers","Tampa Bay Lightning",1,1
470,"Boston Bruins","Los Angeles Kings",0,0
471,"Winnipeg Jets","Colorado Avalanche",0,0
472,"Vancouver Canucks","Columbus Blue Jackets",1,0
473,"New York Islanders","Ottawa Senators",0,0
474,"Chicago Blackhawks","San Jose Sharks",0,0
475,"New York Rangers","New Jersey Devils",1,1
476,"Philadelphia Flyers","Nashville Predators",1,1
477,"Carolina Hurricanes","Detroit Red Wings",1,0
478,"Toronto Maple Leafs","Anaheim Ducks",0,0
479,"St. Louis Blues","Edmonton Oilers",1,0
480,"Arizona Coyotes","Calgary Flames",0,0
481,"Boston Bruins","New York Islanders",0,0
482,"New Jersey Devils","Nashville Predators",0,0
483,"Pittsburgh Penguins","New York Rangers",0,0
484,"Columbus Blue Jackets","Los Angeles Kings",1,1
485,"Montréal Canadiens","Anaheim Ducks",0,0
486,"Tampa Bay Lightning","Detroit Red Wings",0,0
487,"Florida Panthers","Buffalo Sabres",1,1
488,"Minnesota Wild","Colorado Avalanche",0,0
489,"Chicago Blackhawks","Ottawa Senators",0,0
490,"Dallas Stars","St. Louis Blues",1,0
491,"Vancouver Canucks","Winnipeg Jets",0,0
492,"San Jose Sharks","Calgary Flames",0,0
493,"Philadelphia Flyers","Washington Capitals",1,1
494,"Arizona Coyotes","Edmonton Oilers",0,0
495,"Buffalo Sabres","Carolina Hurricanes",0,0
496,"New Jersey Devils","Philadelphia Flyers",0,0
497,"Columbus Blue Jackets","Pittsburgh Penguins",0,0
498,"Montréal Canadiens","Minnesota Wild",0,0
499,"Ottawa Senators","Anaheim Ducks",1,0
500,"Tampa Bay Lightning","St. Louis Blues",0,0
501,"Florida Panthers","Boston Bruins",0,0
502,"Nashville Predators","Los Angeles Kings",0,0
503,"Colorado Avalanche","Toronto Maple Leafs",0,0
504,"Vancouver Canucks","Winnipeg Jets",0,0
505,"New York Islanders","Buffalo Sabres",0,0
506,"New York Rangers","Minnesota Wild",0,0
507,"Pittsburgh Penguins","New Jersey Devils",0,0
508,"Washington Capitals","Tampa Bay Lightning",0,0
509,"Columbus Blue Jackets","Montréal Canadiens",0,0
510,"Florida Panthers","Detroit Red Wings",1,1
511,"Carolina Hurricanes","Boston Bruins",1,0
512,"Chicago Blackhawks","Colorado Avalanche",1,0
513,"Dallas Stars","Los Angeles Kings",1,0
514,"Calgary Flames","Vancouver Canucks",0,0
515,"Arizona Coyotes","Toronto Maple Leafs",0,0
516,"San Jose Sharks","Edmonton Oilers",1,0
517,"New Jersey Devils","Pittsburgh Penguins",0,0
518,"New York Islanders","Washington Capitals",0,0
519,"New York Rangers","Ottawa Senators",0,0
520,"Columbus Blue Jackets","Boston Bruins",0,0
521,"Detroit Red Wings","Buffalo Sabres",0,0
522,"Nashville Predators","Minnesota Wild",1,0
523,"Chicago Blackhawks","Winnipeg Jets",0,0
524,"Colorado Avalanche","Calgary Flames",0,0
525,"Arizona Coyotes","Dallas Stars",0,0
